Id,Label,timeset,comment,indegree,outdegree,Degree
3.0.1.tar.gz,3.0.1.tar.gz,,Archive,2,4,6
3.0.3.tar.gz,3.0.3.tar.gz,,Archive,1,4,5
3.0.5.tar.gz,3.0.5.tar.gz,,Archive,1,4,5
3.1.0.tar.gz,3.1.0.tar.gz,,Archive,3,4,7
3.5.0.tar.gz,3.5.0.tar.gz,,Archive,1,4,5
3.5.4.tar.gz,3.5.4.tar.gz,,Archive,1,4,5
3.6.1.tar.gz,3.6.1.tar.gz,,Archive,1,4,5
3.6.3.tar.gz,3.6.3.tar.gz,,Archive,1,4,5
3.patch,3.patch,,Patch,1,5,6
30-linux-makefile.patch,30-linux-makefile.patch,,Patch,1,5,6
300-relative.patch,300-relative.patch,,Patch,1,4,5
30_hershey_glyphs,30_hershey_glyphs,,None,1,4,5
315406d8cd0937e786723986e88d376c88806c60.patch,315406d8cd0937e786723986e88d376c88806c60.patch,,Patch,1,5,6
32288dd186573ceb58164f30be1782d4580466d8.patch,32288dd186573ceb58164f30be1782d4580466d8.patch,,Patch,1,5,6
33298b6cbce3.zip,33298b6cbce3.zip,,Archive,1,4,5
336e8fdb84e77f4105e9bbb5ab545b8729101308.patch,336e8fdb84e77f4105e9bbb5ab545b8729101308.patch,,Patch,1,5,6
344217f513b7adfb9037f73026f5d928be98d07f.patch,344217f513b7adfb9037f73026f5d928be98d07f.patch,,Patch,1,5,6
35_spline.test.error.diff,35_spline.test.error.diff,,Diff,1,4,5
35f87ce0a7aeddaaad118daed3022e01453b838d.patch,35f87ce0a7aeddaaad118daed3022e01453b838d.patch,,Patch,1,5,6
361ad0c60d0bfce2a992eefd17e917f9dcf36400.patch,361ad0c60d0bfce2a992eefd17e917f9dcf36400.patch,,Patch,2,5,7
361bb413203fd43bab624d98edf6f7d20ce6bfd3.tar.gz,361bb413203fd43bab624d98edf6f7d20ce6bfd3.tar.gz,,Archive,1,4,5
365ce4c4c700736d2eec8ba6c975327a5ac2cd9b.patch,365ce4c4c700736d2eec8ba6c975327a5ac2cd9b.patch,,Patch,1,5,6
389-ds-base-1.3.5.19,389-ds-base-1.3.5.19,,None,0,19,19
389-ds-base-1.3.5.19.tar.bz2,389-ds-base-1.3.5.19.tar.bz2,,Archive,1,4,5
38a59370dc5ac720c29e1424614a10f7384b943f.patch,38a59370dc5ac720c29e1424614a10f7384b943f.patch,,Patch,1,5,6
396.diff,396.diff,,Diff,1,4,5
397.diff,397.diff,,Diff,1,4,5
39cb6da69c1aec3d57ea9f68c2dea5113ae1b764.patch,39cb6da69c1aec3d57ea9f68c2dea5113ae1b764.patch,,Patch,1,5,6
3a231c7a6c5e535a77c25e207af8952793436444.patch,3a231c7a6c5e535a77c25e207af8952793436444.patch,,Patch,1,5,6
